FirstName,LastName,Title,Category,Language,Location,Type
Fred,Saberhagen,Berserker's Planet,Science Fiction,English,Audible,Audiobook
Carl,Hiaasen,Skinny Dip,Thriller,English,Audible,Audiobook
Robert,Jordan,The Great Hunt: Book Two of The Wheel Of Time,Fantasy,English,Audible,Audiobook
Dan,Brown,The Da Vinci Code: A Novel,Thriller,English,Audible,Audiobook
Robert A.,Heinlein,Stranger in a Strange Land,Science Fiction,English,Audible,Audiobook
Jay,Allison,The Vietnam Tapes of Lance Corporal Michael A. Baronowski,History,English,Audible,Audiobook
Larry,Niven,Protector,Science Fiction,English,Audible,Audiobook
Ayn,Rand,The Fountainhead,Fiction,English,Audible,Audiobook
Spider,Robinson,The Callahan Chronicals,Science Fiction,English,Audible,Audiobook
Dr. Paul,Pimsleur,Pimsleur Quick and Simple French for English Speakers,Language Learning,English,Audible,Audiobook
Robert,Harris,Pompeii: A Novel,Historical Fiction,English,Audible,Audiobook
Jeffrey,Eugenides,Middlesex,Fiction,English,Audible,Audiobook
Charles,Sheffield,"Summertide: The Heritage Universe, Book 1",Science Fiction,English,Audible,Audiobook
Orson Scott,Card,Speaker for the Dead,Science Fiction,English,Audible,Audiobook
Charles,Sheffield,Transcendence: Book 3 of The Heritage Universe,Science Fiction,English,Audible,Audiobook
Orson Scott,Card,Ender's Game: Special 20th Anniversary Edition,Science Fiction,English,Audible,Audiobook
Bill,Bryson,A Short History of Nearly Everything,Science,English,Audible,Audiobook
Christopher,Paolini,"Eragon: Inheritance, Book 1",Fantasy,English,Audible,Audiobook
Charles,Sheffield,"Convergence: The Heritage Universe, Book 4",Science Fiction,English,Audible,Audiobook
Neal,Stephenson,Snow Crash,Science Fiction,English,Audible,Audiobook
Michael,Crichton,Timeline: A Novel,Science Fiction,English,Audible,Audiobook
Larry,Niven,Ringworld,Science Fiction,English,Audible,Audiobook
Arthur C.,Clarke,The Collected Stories of Arthur C. Clarke: 1937-1999 (Unabridged Selections),Science Fiction,English,Audible,Audiobook
Stephen,King,Bag of Bones,Horror,English,Audible,Audiobook
Margaret,Atwood,Oryx and Crake,Science Fiction,English,Audible,Audiobook
Nelson,DeMille,Mayday,Thriller,English,Audible,Audiobook
Lian,Hearn,"Grass for His Pillow: Tales of the Otori, Book Two",Fantasy,English,Audible,Audiobook
Charles,Sheffield,"Divergence: The Heritage Universe, Book 2",Science Fiction,English,Audible,Audiobook
