FirstName,LastName,Title,Category,Language,Location,Type
Min Jin,Lee,Pachinko,Fiction,English,River House,book
J.R.R.,Tolkien,The Hobbit,Fantasy,English,River House,book
Geoffrey,Chaucer,The Canterbury Tales,Classic,English,River House,book
Isabel,Allende,Das Geisterhaus,Fiction,German,River House,book
Celeste,Ng,Little Fires Everywhere,Fiction,English,River House,book
Jane,Austen,Pride and Prejudice,Classic,English,River House,book
Jonathan,Stroud,The Amulet of Samarkand,Fantasy,English,River House,book
Jonathan,Stroud,The Golem's Eye,Fantasy,English,River House,book
Jonathan,Stroud,Ptolemy's Gate,Fantasy,English,River House,book
Robert,Reed,Marrow,Science Fiction,English,River House,book
Robert,Heinlein,The Moon is a Harsh Mistress,Science Fiction,English,River House,book
Mo,Willems,Knuffle Bunny,Children,English,River House,book
Taschen,,Bauhaus,Design,English,River House,book
Unknown,,XS: Small Architecture,Architecture,German,River House,book
Alastair,Gordon,Beach Houses: Andrew Geller,Architecture,English,River House,book
Frank,Herbert,Dune,Science Fiction,English,River House,book
Frank,Herbert,Dune Messiah,Science Fiction,English,River House,book
Frank,Herbert,Children of Dune,Science Fiction,English,River House,book
Frank,Herbert,God Emperor of Dune,Science Fiction,English,River House,book
Frank,Herbert,Heretics of Dune,Science Fiction,English,River House,book
Frank,Herbert,Chapterhouse: Dune,Science Fiction,English,River House,book
Jack,London,The Sea Wolf,Classic,English,River House,book
Haruki,Murakami,The City and Its Uncertain Walls,Fiction,English,River House,book
Angelika,Taschen,Living in Japan,Design/Travel,English,River House,book
Douglas,Preston,The Lost City of the Monkey God,Nonfiction,English,River House,book
Michelle,Obama,Becoming,Memoir,English,River House,book
Michael,Wolff,Fire and Fury,Nonfiction,English,River House,book
Marion Zimmer,Bradley,The Firebrand,Fantasy,English,River House,book
James S. A.,Corey,Leviathan Wakes (The Expanse),Science Fiction,English,River House,book
Darran,Anderson,Imaginary Cities,Nonfiction,English,River House,book
Larry,Niven,The Integral Trees,Science Fiction,English,River House,book
Tanja,Weber,Sommersaat,Fiction,German,River House,book
Jon,Krakauer,Into the Wild,Nonfiction,English,River House,book
David,Nicholls,One Day,Fiction,English,River House,book
Lucy,Neumann,Pattern Thinking,Design/Nonfiction,English,River House,book
Unknown,,Diogenes Lernatlas Latein,Reference,German,River House,book
Michael,Crichton,Micro,Science Fiction,English,River House,book
Michael,Crichton,The Lost World,Science Fiction,English,River House,book
Rick,Riordan,The Lightning Thief,Fantasy,English,River House,book
Anne,McCaffrey,Dragondrums,Fantasy,English,River House,book
Orson Scott,Card,Ender's Game,Science Fiction,English,River House,book
Cixin,Liu,The Three-Body Problem,Science Fiction,English,River House,book
Larry,Niven,Limits,Science Fiction,English,River House,book
Iain M.,Banks,Against a Dark Background,Science Fiction,English,River House,book
Arthur C.,Clarke,Childhood's End,Science Fiction,English,River House,book
John,Steinbeck,The Short Novels of John Steinbeck,Classic,English,River House,book
Jorge Luis,Borges,Ficciones,Science Fiction,English,River House,book
Duong Thu,Huong,Paradise of the Blind,Fiction,English,River House,book
Elie,Wiesel,Night,Memoir,English,River House,book
