FirstName,LastName,Title,Category,Language,Location,Type
Pam,Penick,"Lawn gone! : low-maintenance, sustainable, attractive alternatives for your yard",Gardening,English,library,book
Piet,Oudolf,"Oudolf Hummelo : a journey through a plantsman's life",Gardening,English,library,book
Melissa,Brasier,"Take it outside : a guide to designing beautiful spaces just beyond your door",Design,English,library,book
Sophie,Bush,"Warehouse home : industrial inspiration for twenty-first-century living",Design,English,library,book
Ann,Leckie,Ancillary mercy,Science Fiction,English,library,book
Anita,Yokota,"Home therapy : interior design for increasing happiness, boosting confidence, and creating calm",Design,English,library,book
Amber,Lewis,Made for living : collected interiors for all sorts of styles,Design,English,library,book
Unknown,"Workstead : interiors of beauty and necessity",Design,English,library,book
Ann,Leckie,Provenance,Science Fiction,English,library,book
Jack,McDevitt,Return to glory,Science Fiction,English,library,book
Stephanie,Plunkett,Drawing lessons from the Famous Artists School : classic techniques and expert tips from the golden age of illustration,Art,English,library,book
Kagan,McLeod,Drawing people every day : short lessons in portrait and figure drawing using ink and color,Art,English,library,book
Christopher,Paolini,Eragon,Fantasy,English,library,book
Cultural Landscape Foundation,,Experiencing Olmsted : the enduring legacy of Frederick Law Olmsted's North American landscapes,Gardening,English,library,book
James,Dashner,The death cure,Science Fiction,English,library,book
Dave,Eggers,The eyes & the impossible,Fiction,English,library,book
James,Dashner,The fever code,Science Fiction,English,library,book
James,Dashner,The kill order,Science Fiction,English,library,book
Mark,Wolfe,"Ultimate guide to walks, patios & walls : plan, design, build",Design,English,library,book
Francesc,Zamora Mola,150 best tiny interior ideas,Design,English,library,book
Luke,Caldwell,"Americana soul : homes designed with love, comfort, and intention",Design,English,library,book
Anna,Spiro,Anna Spiro : a life in pattern,Design,English,library,book
Bobby,Berk,Right at home : designing your space so that it takes care of you,Design,English,library,book
Ann,Leckie,Ancillary sword,Science Fiction,English,library,book
Rebecca,Yarros,Fourth wing,Fantasy,English,library,book
Alice,Walker,The color purple,Fiction,English,library,book
James,Dashner,The Scorch trials,Science Fiction,English,library,book
Dabito,,Old brand new : colorful homes for maximal living,Design,English,library,book
Stephanie,Gonzalez,Embracing natural design : inspired living,Design,English,library,book
Celerie,Kemble,Island whimsy : designing a paradise by the sea,Design,English,library,book
Andrew,Cogar,"Visions of home : timeless design, modern sensibility",Design,English,library,book
Kim,Robinson,2312,Science Fiction,English,library,book
Unknown,"Interior affairs : Sofía Aspe and the art of design",Design,English,library,book
Jenni,Kayne,Pacific natural at home,Design,English,library,book
Sophie,Donelson,Style secrets : what every room needs,Design,English,library,book
Corey,Jenkins,Design remix : a new spin on traditional rooms,Design,English,library,book
Barbara,Sallick,The perfect kitchen,Design,English,library,book
Nnedi,Okorafor,The shadow speaker,Fantasy,English,library,book
Carley,Summers,"Sacred spaces : everyday people and the beautiful homes created out of their trials, healing, and victories",Design,English,library,book
Thomas,Keneally,The book of science and antiquities : a novel,Fiction,English,library,book
Sara,Silm,How to French country,Design,English,library,book
Alastair,Reynolds,Eversion,Science Fiction,English,library,book
Ryan,McEnaney,"Field guide to outside style : design and plant your perfect outdoor space",Design,English,library,book
Unknown,"The complete guide to landscape projects : natural landscape design, eco-friendly water features, hardscaping, landscape painting",Design,English,library,book
Jaci,Conry,At home on the water,Design,English,library,book
Mark,Sikes,"Beautiful : all-American decorating and timeless style",Design,English,library,book
Unknown,"House beautiful colors for your home : the ultimate guide to choosing paint",Design,English,library,book
Alana,Langan,"Nature style : cultivating wellbeing at home with plants",Design,English,library,book
Lee Anne,White,Patio & walkway ideas that work,Design,English,library,book
Stewart,Manger,"Romancing the home : stylish interiors for modern living",Design,English,library,book
Suzanne,Rheinstein,A welcoming elegance,Design,English,library,book
Lauren,Liess,"Down to earth : laid-back interiors for modern living",Design,English,library,book
Ada,Hoffmann,The fallen,Science Fiction,English,library,book
Ariel,Magidson,"Your space, made simple : recipes for approachable, affordable, and sustainable interior design",Design,English,library,book
Michael,Flynn,Eifelheim,Science Fiction,English,library,book
Chris,Panatier,Stringers,Science Fiction,English,library,book
Ellen,Fisher,"New York School of Interior Design home : the foundations of enduring spaces",Design,English,library,book
Barbara,King,"500 bathroom ideas : elegant & dreamy spaces",Design,English,library,book
Ada,Palmer,Seven surrenders,Science Fiction,English,library,book
Tara,Cousineau,"The kindness cure : how the science of compassion can heal your heart & your world",Nonfiction,English,library,book
Daniel,Levitin,"The organized mind : thinking straight in the age of information overload",Nonfiction,English,library,book
Christiana,Coop,"Hygge & West Home : design for a cozy life",Design,English,library,book
Gregory,Roberts,The mountain shadow,Fiction,English,library,book
Ada,Hoffmann,The outside,Science Fiction,English,library,book
Ada,Palmer,Too like the lightning,Science Fiction,English,library,book
Antonia,Van der Meer,Beach house happy : the joy of living by the water,Design,English,library,book
George,Saunders,Liberation day : stories,Fiction,English,library,book
Emily,Henderson,"Styled : secrets for arranging rooms, from tabletops to bookshelves",Design,English,library,book
Emily,Henderson,"The new design rules : how to decorate and renovate, from start to finish",Design,English,library,book
Georgi,Gospodinov,"Time shelter : a novel",Fiction,English,library,book
Shira,Gill,"Minimalista : your step-by-step guide to a better home, better wardrobe, and better life",Design,English,library,book
K.J.,Parker,Prosper's demon,Fantasy,English,library,book
William,Alexander,A festival of ghosts,Fantasy,English,library,book
Jenny,McLachlan,The Land of Roar,Fantasy,English,library,book
Tom,Wolfe,"A man in full : a novel",Fiction,English,library,book
Keith,Thomson,"Born to be hanged : the epic story of the gentlemen pirates who raided the south seas, rescued a princess, and stole a fortune",History,English,library,book
Eliot,Schrefer,Rumi's riddle,Fantasy,English,library,book
Tom,Wolfe,The bonfire of the vanities,Fiction,English,library,book
Chuck,Wendig,"Wanderers : a novel",Fiction,English,library,book
Brian,Paquette,"At home : evocative & art-forward interiors",Design,English,library,book
Eliot,Schrefer,Gogi's gambit,Fantasy,English,library,book
Sadao,Yasumoro,Inside your Japanese garden,Gardening,English,library,book
Athena,Calderone,Live beautiful,Design,English,library,book
Emily,Henson,"Modern rustic : relaxed rooms for easy living",Design,English,library,book
Lucy,Coats,Beast keeper,Fantasy,English,library,book
Katy,Farina,Song of the court,Fantasy,English,library,book
Gene,Doucette,The Apocalypse Seven,Science Fiction,English,library,book
Henry,Horenstein,"Make better pictures : truth, opinions, and practical advice",Photography,English,library,book
William,Gibson,The peripheral,Science Fiction,English,library,book
Ted,Chiang,Exhalation,Science Fiction,English,library,book
Jeffrey,Eugenides,"Fresh complaint : stories",Fiction,English,library,book
Jeffrey,Eugenides,Middlesex,Fiction,English,library,book
Sandra,Markle,"The long, long journey : the godwit's amazing migration",Science,English,library,book
Jason,Viola,"Polar bears : survival on the ice",Science,English,library,book
Isaac,Asimov,Second foundation,Science Fiction,English,library,book
A.G.,Riddle,The Atlantis world : a thriller,Thriller,English,library,book
Bill,Bryson,At Home,History,English,library,book
Hugh,Howey,The Shift Omnibus,Science Fiction,English,library,book
Frank,Brady,Endgame,Nonfiction,English,library,book
Neil,Gaiman,Eternals by Neil Gaiman,Graphic Novel,English,library,book
Isaac,Asimov,Foundation,Science Fiction,English,library,book
C. Alexander,London,Moonlight brigade,Fantasy,English,library,book
A.G.,Riddle,The Atlantis gene,Thriller,English,library,book
A.G.,Riddle,The Atlantis plague,Thriller,English,library,book
Isaac,Asimov,Foundation and empire,Science Fiction,English,library,book
Clifford,Simak,"Skirmish : the great short fiction of Clifford D. Simak.",Science Fiction,English,library,book
Marion,Bradley,The mists of Avalon,Fantasy,English,library,book
Richard,Morgan,Woken furies,Science Fiction,English,library,book
Richard,Morgan,Altered carbon,Science Fiction,English,library,book
Richard,Morgan,Broken angels,Science Fiction,English,library,book
Ernest,Hemingway,The old man and the sea,Classic,English,library,book
Joan,Druett,"Island of the lost : shipwrecked at the edge of the world",History,English,library,book
Andrea,Barrett,Ship fever,Fiction,English,library,book
J. Patrick,Black,Ninth City burning,Science Fiction,English,library,book
Dexter,Palmer,Version control,Science Fiction,English,library,book
Lisa,Nichols,"Vessel : a novel",Fiction,English,library,book
Neal,Stephenson,"Fall, or, Dodge in hell : a novel",Science Fiction,English,library,book
J.K.,Rowling,Harry Potter and the Order of the Phoenix,Fantasy,English,library,book
Thomas,Olde Heuvelt,Hex,Horror,English,library,book
Malka,Older,Null states,Science Fiction,English,library,book
Elizabeth,Bear,The red-stained wings,Fantasy,English,library,book
